price,size_in_m_2,longitude,latitude,no_of_bedrooms,no_of_bathrooms,quality
1100000,106.281032,55.14165799999999,25.11241,1,1,0
3800000,376.535859,55.13609,25.113366,3,3,0
1100000,88.443656,55.28915799999999,25.189282,1,2,1
650000,71.256601,55.174064,25.091283,1,1,1
17130000,426.889285,55.168509,25.10355,3,4,1
22260000,457.361469,55.168509,25.10355,4,5,1
490000,52.304389,55.272389,25.17667,0,1,0
2800000,185.155679,55.244923,25.107984,3,4,1
450000,102.657815,55.206605,25.047032,1,2,1
1400000,134.70935,55.293914,25.005442,3,3,1
1700000,185.06277599999999,55.138246,25.065886,2,2,1
3000000,211.725937,55.136449,25.111229,3,4,1
1125888,171.87055,55.294912,25.005559,3,4,0
1150000,129.692588,55.14066,25.082397,2,3,1
1499000,159.886063,55.148385,25.087042,3,3,1
990000,67.075966,55.177657,25.108984,1,2,1
1400000,156.07704,55.14866899999999,25.078262,2,4,0
590888,50.725038,55.295312,25.005753,1,2,0
749888,44.779246,55.243982,25.099132,1,2,1
796195,45.801179,55.308533,25.177819,1,1,0
700000,77.574005,55.288017,25.145181,1,2,1
1055000,108.975219,55.148401,25.107353,1,1,0
1100000,135.824186,55.289787,25.01057,3,3,0
3600000,239.968449,55.268641,25.195236,3,4,1
1575000,106.83845,55.144753,25.08333,2,3,0
2000000,157.284779,55.168784,25.096545000000003,2,3,0
900000,92.903,55.247980000000005,25.109367,1,2,1
2099999,128.299043,55.147768000000006,25.086575,2,3,1
420000,41.063126,55.155419,25.021571,0,1,1
849999,63.638555,55.26624,25.178582,1,2,1
4900000,200.391771,55.283223,25.195751,3,4,1
750000,70.420474,55.17514499999999,25.0902,1,1,0
1900000,206.523369,55.148401,25.107353,3,4,1
1400000,142.513202,55.288017,25.145181,2,3,0
1780000,111.4836,55.25277,25.240419,2,2,2
1754888,105.07329299999999,55.138103,25.111902,2,3,1
2350000,172.613774,55.280919,25.19331,2,3,0
2350000,234.487172,55.136701,25.11257,3,4,1
1100000,93.367515,55.13586,25.072696,1,2,1
1095000,72.557243,55.280033,25.19236,1,1,0
525000,64.753391,55.291467,25.010196,1,1,1
1290000,77.202393,55.25277,25.240419,1,2,0
500000,54.719867,55.291467,25.010196,1,1,1
990000,139.3545,55.133324,25.069944,2,3,1
1025000,68.74822,55.271002,25.196398,1,2,1
761888,45.150858,55.243982,25.099132,1,2,0
18614888,500.096849,55.272126,25.196489,4,5,0
1430000,67.168869,55.280662,25.202977,1,2,0
1550000,131.736454,55.17331,25.088728,2,2,0
2750000,114.828108,55.280662,25.202977,2,3,0
1150000,66.239839,55.271002,25.196398,1,1,1
1150000,109.997152,55.149275,25.106668,1,1,0
2000000,201.042092,55.142382,25.108728,2,3,1
1290000,126.533886,55.247980000000005,25.109367,2,3,1
1700000,86.771402,55.280175,25.19168,2,3,0
2349000,276.758037,55.150625,25.089833,3,4,1
1976504,108.231995,55.292277,25.184873,1,2,1
1900000,142.884814,55.270677,25.191719,2,3,1
610000,44.314731,55.282071,25.186573000000003,0,1,1
1900000,175.58667,55.137511,25.110165,2,2,0
1100000,102.286203,55.121042,25.098745,1,2,1
429000,42.73538,55.20541600000001,25.037035,0,2,0
1300000,124.675826,55.168887,25.093319,2,2,0
1460000,80.639804,55.147768000000006,25.086575,1,2,1
3450000,209.96078,55.141387,25.116492,3,3,0
1999999,154.21898,55.173227,25.086886,3,4,2
1650000,172.79958,55.149287,25.085305,1,2,1
7000000,179.674402,55.235827,25.215192,2,2,1
820000,59.45792,55.139815000000006,25.068729,1,1,0
1525000,161.65122,55.271002,25.196398,2,2,0
1299999,126.440983,55.247980000000005,25.109367,2,3,1
950000,80.175289,55.168657,25.091259,1,1,0
